Year,GDP_Per_Capita_2015USD,Life_Expectancy,Total_Fertility_Rate,Crude_Birth_Rate,Crude_Death_Rate,Service_Output_Per_Capita,Food_Per_Capita_kg
1971,20648,72.7,2.13,17.1,7.3,4200,1650
1972,21450,72.9,2.02,15.9,7.4,4350,1670
1973,22600,73.1,1.93,15.5,7.4,4500,1680
1974,23250,73.4,1.87,15.4,7.1,4600,1690
1975,23500,73.6,1.83,15.4,7.2,4700,1700
1976,24550,73.9,1.78,15.7,7.2,4800,1710
1977,25100,74.1,1.75,15.5,7.1,4900,1720
1978,25800,74.4,1.72,15.3,7.0,5000,1730
1979,26700,74.6,1.70,15.5,7.1,5200,1740
1980,27100,74.8,1.68,15.4,7.0,5350,1750
1981,27700,75.0,1.65,15.3,7.0,5500,1760
1982,26700,75.3,1.63,15.1,7.0,5400,1750
1983,27200,75.5,1.62,15.0,7.0,5500,1760
1984,28500,75.7,1.63,15.0,7.0,5700,1770
1985,29700,75.9,1.61,14.8,7.1,5900,1780
1986,30200,76.1,1.59,14.7,7.1,6100,1790
1987,31200,76.4,1.57,14.4,7.2,6300,1800
1988,32400,76.6,1.56,14.5,7.2,6500,1810
1989,33000,76.8,1.56,15.0,7.1,6700,1820
1990,33100,77.0,1.62,15.3,7.0,6800,1830
1991,32400,77.3,1.65,14.3,7.0,6700,1830
1992,32600,77.5,1.64,14.0,7.1,6800,1840
1993,33200,77.7,1.62,13.4,7.1,6900,1850
1994,34300,77.8,1.62,13.2,7.1,7100,1860
1995,35000,78.0,1.62,12.8,7.1,7200,1870
1996,35400,78.2,1.60,12.3,7.2,7300,1880
1997,36600,78.5,1.56,11.8,7.2,7500,1890
1998,37400,78.7,1.54,11.4,7.2,7700,1900
1999,38800,78.9,1.52,11.1,7.2,7900,1910
2000,40200,79.1,1.51,10.9,7.1,8200,1920
2001,40500,79.3,1.51,10.7,7.1,8300,1920
2002,41400,79.5,1.50,10.5,7.2,8500,1930
2003,42000,79.7,1.53,10.5,7.2,8600,1940
2004,43000,80.0,1.53,10.5,7.2,8800,1950
2005,43700,80.2,1.54,10.4,7.2,9000,1960
2006,44400,80.4,1.59,10.7,7.2,9200,1970
2007,44900,80.6,1.66,11.0,7.2,9300,1980
2008,44800,80.8,1.68,11.2,7.3,9300,1980
2009,43300,81.0,1.67,11.2,7.4,9100,1970
2010,43900,81.2,1.63,11.1,7.3,9200,1980
2011,44900,81.4,1.61,11.0,7.3,9400,1990
2012,45200,81.5,1.61,10.9,7.4,9500,2000
2013,45700,81.7,1.59,10.8,7.5,9600,2010
2014,46300,81.8,1.58,10.9,7.5,9700,2020
2015,46200,81.9,1.60,10.8,7.6,9700,2020
2016,46300,82.0,1.54,10.6,7.6,9700,2030
2017,47300,82.0,1.50,10.3,7.7,9900,2040
2018,48100,82.0,1.50,10.2,7.7,10000,2050
2019,48400,82.1,1.47,10.0,7.7,10100,2060
2020,45700,81.6,1.40,9.9,7.9,9700,2050
2021,47300,81.6,1.43,10.0,7.8,9900,2060
2022,48500,81.3,1.33,9.7,8.0,10100,2060
2023,48800,81.7,1.26,9.2,8.0,10200,2070
